8196,8270
8472,8670
8681,8777
8196,9062
9992,10090
10293,10518
10529,10652
9992,10737
11610,11730
11946,12164
12177,12320
11610,12400
12741,12844
13047,13270
13284,13376
12741,13489
14127,14211
14367,14583
14597,14718
14127,14847
15562,15629
15833,16041
16053,16234
15562,16240
17317,17400
17553,17750
17776,17980
17317,18030
18842,18920
19129,19336
19354,19572
18842,19625
20307,20400
20620,20870
20883,21055
22224,22572
20307,20896
26283,26365
26660,26883
26895,27014
20307,27455
28048,28129
28356,28613
28629,28811
28048,28918
29679,29742
29934,30138
30155,30260
29679,30328
31186,31266
31476,31671
31689,32008
31186,32080
34006,34104
34355,34589
34603,34849
34006,34942
35222,35373
35605,35807
35821,35979
35222,36048
36870,36965
37213,37577
36870,37661
38200,38306
38481,38715
38729,38831
38200,39171
39519,39660
39856,40098
40224,40383
39519,40508
41443,41549
41758,42000
42017,42138
41443,42287
42827,42972
43127,43355
43369,43504
42827,43630
44243,44317
44502,44735
44751,44844
44243,44996
45609,45688
45925,46141
46191,46309
45609,46619
47201,47273
47461,47723
47740,47892
47201,47978
48361,48447
48655,48883
48895,49027
48361,49174
49916,50000
50246,50600
50613,50700
49916,50765
52864,52951
53167,53398
53410,53522
52864,53600
54466,54593
54814,55024
55041,55284
54466,55404
56482,56576
56869,57275
56482,57422
57928,58024
58230,58420
58434,58557
57928,58686
59376,59487
59707,59924
59932,60064
59376,60201
60693,60855
61049,61294
61306,61424
60693,61551
62326,62412
62636,62819
62834,62969
62983,63152
62326,63286
63681,63788
63962,64203
64320,64477
63681,64608
65283,65407
65680,65906
66110,66251
65283,66443
66729,66833
67104,67366
67380,67512
66729,67668
68063,68166
68367,68613
68771,68908
68063,69072
69536,69641
69921,70178
70194,70314
69536,70454
72361,72477
72643,72869
72969,73119
72361,73229
73818,73932
74098,74355
74373,74509
73818,74647
75825,75937
76087,76305
76318,76480
75825,76652
77441,77537
77954,78125
78137,78259
77441,78364
78939,79025
79245,79457
79613,79736
78939,80050
80356,80447
80629,80882
80898,80998
80356,81143
82006,82111
82310,82552
82566,82681
82006,82779
83405,83516
83742,83987
83405,84117
84892,85017
85367,85585
85600,85804
84892,86144
86590,86675
86984,87311
86590,87622
87943,88090
88393,88618
88631,88897
87943,89074
89574,89673
89947,90165
90177,90303
89574,90530
92490,92581
92789,92989
93000,93143
92490,93576
93858,93984
94171,94384
94398,94537
93858,94996
96213,96321
96531,96767
96779,96905
96213,97079
97630,97742
97960,98216
98229,98320
97630,98548
98955,99053
99254,99497
99509,99634
98955,99716
100394,100492
100733,100978
100989,101341
100394,101481
102258,102362
102548,102773
102783,102940
102258,103095
103689,103790
103984,104229
104239,104533
103689,104651
105286,105365
105684,105913
105925,106084
105286,106227
106989,107089
107319,107571
107584,107711
106989,107830
109054,109167
109418,109718
109730,109880
109054,110011
110310,110473
110719,110956
111052,111191
110310,111322
113660,113765
114007,114220
114335,114464
113660,114735
115785,115874
116107,116350
116360,116548
115785,116858
117781,117937
118228,118470
118483,118614
117781,118888
119690,119810
120032,120303
119690,120656
121526,121615
121815,122047
122060,122198
121526,122498
123402,123488
123669,123894
123906,124022
123402,124416
125549,125637
125822,126040
126052,126231
125549,126531
127130,127283
127613,127848
127130,128448
129781,129881
130737,131034
131044,131184
129781,131409
132041,132128
132474,132712
132041,132966
133814,133900
134179,134430
133814,134680
135577,135699
135919,136144
136155,136367
135577,136451
